x_value,total_1,total_2
0,1000,1000
1,998,1000
2,999,999
3,993,1002
4,989,999
5,993,1005
6,989,1005
7,996,1011
8,995,1009
9,997,1013
10,993,1019
11,991,1015
12,993,1019
13,993,1024
14,995,1029
15,1001,1031
16,995,1036
17,1000,1039
18,996,1037
19,992,1039
20,1000,1039
21,1005,1040
22,1010,1036
23,1005,1033
24,1004,1034
25,1004,1034
26,1005,1035
27,1002,1039
28,1007,1041
29,1013,1037
30,1012,1038
31,1007,1040
32,1012,1038
33,1016,1039
34,1014,1045
35,1019,1044
36,1024,1048
37,1020,1045
